hr,min,sec,ax,ay,az,gx,gy,gz,temp
1,2,40,0.358192,-1.190720,0.752496,-158.690002,-4.550000,96.739998,26.33
1,2,40,-0.250832,-1.093608,0.447008,-190.050003,-13.090000,35.490002,26.37
1,2,40,-0.280112,-0.736880,-0.004392,-174.160004,-52.220001,-7.560000,26.35
1,2,40,-0.001464,-0.870104,0.176656,-175.770004,-54.880001,-21.000000,26.35
1,2,40,0.149328,-1.113128,-0.074176,-76.720001,-34.930000,-41.230000,26.34
1,2,40,0.209352,-1.111664,-0.093696,-34.650002,-26.670000,-6.440000,26.37
1,2,40,0.245464,-1.002352,-0.008784,7.700000,-16.940001,21.559999,26.32
1,2,40,0.086376,-0.986736,0.108824,-23.520000,-6.300000,-5.180000,26.35
1,2,40,0.085400,-1.037488,0.015616,-3.360000,-1.890000,3.010000,26.38
1,2,40,0.081984,-1.034072,0.022448,4.760000,0.000000,1.610000,26.33
1,2,40,0.077104,-1.020408,0.065880,10.990000,0.910000,-0.280000,26.31
1,2,40,0.082960,-0.994544,0.101016,-7.140000,-2.730000,0.630000,26.35
1,2,40,0.081984,-1.011136,0.078568,-9.590000,-3.290000,1.400000,26.37
1,2,40,0.081008,-1.016016,0.055144,-8.120000,-3.360000,0.560000,26.37
1,2,40,0.082960,-1.039440,0.051728,-2.800000,-1.470000,0.210000,26.37
1,2,40,0.066368,-0.990640,0.040016,2.170000,-1.050000,-2.240000,26.40
1,2,40,0.097112,-1.038952,0.081984,5.110000,-0.700000,0.000000,26.40
1,2,40,0.075640,-0.979416,0.083448,3.010000,-1.050000,-0.070000,26.35
1,2,40,0.072712,-1.012112,0.057096,-5.600000,-2.520000,1.190000,26.31
1,2,40,0.076616,-1.020896,0.048312,-1.960000,-1.960000,-0.490000,26.34
1,2,40,0.081008,-1.018456,0.051240,1.190000,-1.470000,-1.050000,26.34
1,2,40,0.079544,-1.002352,0.061976,2.100000,-0.700000,0.630000,26.39
1,2,40,0.084912,-1.018456,0.075640,2.170000,-1.680000,0.140000,26.35
1,2,40,0.090768,-0.997472,0.077592,-0.630000,-1.610000,0.910000,26.37
1,2,40,0.086376,-1.009184,0.067832,-2.590000,-2.170000,0.490000,26.37
1,2,40,0.087840,-1.000888,0.061488,-3.080000,-2.240000,-0.280000,26.36
1,2,40,0.145424,-1.037488,0.115168,1.960000,-0.350000,-15.260000,26.36
1,2,40,0.162016,-0.975024,0.102480,-8.470000,-5.880000,10.780000,26.33
1,2,40,0.142984,-0.999424,0.096136,-14.770000,17.709999,20.790001,26.33
1,2,40,0.070272,-1.029192,0.025864,-11.270000,-5.250000,20.930000,26.38
1,2,40,0.060512,-1.022848,0.038552,-1.960000,-2.940000,14.560000,26.34
1,2,40,0.037088,-0.993080,0.034648,2.450000,-1.610000,2.380000,26.34
1,2,40,0.040016,-0.993080,0.047824,4.620000,-3.360000,-11.200000,26.32
1,2,40,0.085888,-1.015040,0.078080,-6.720000,-4.340000,8.120000,26.34
1,2,40,0.098088,-0.996008,0.041968,-11.620000,-3.360000,9.590000,26.31
1,2,40,0.043432,-1.023824,0.025376,-7.840000,-3.920000,1.190000,26.34
1,2,40,0.071248,-1.022848,0.033184,-0.490000,-2.940000,-2.450000,26.34
1,2,40,0.060512,-1.000400,0.046360,1.890000,-1.330000,-5.810000,26.36
1,2,40,0.088816,-1.020408,0.072712,0.700000,-1.260000,-1.960000,26.35
1,2,40,0.106384,-0.997472,0.075640,-3.990000,-1.470000,3.640000,26.35
1,2,40,0.072712,-0.999912,0.060024,-24.570000,-5.740000,11.340000,26.37
1,2,40,0.067344,-1.007720,0.049288,-28.559999,-9.030000,10.570000,26.34
1,2,40,0.040016,-0.997472,0.034648,-27.160000,-6.860000,3.500000,26.37
1,2,40,0.046848,-1.018944,0.017568,-24.500000,-6.860000,-0.840000,26.37
1,2,40,0.066368,-1.019432,-0.000488,-20.860001,-4.270000,-2.240000,26.32
1,2,40,0.050752,-1.020896,-0.003904,-14.070000,-2.870000,-3.780000,26.32
1,2,40,0.075640,-1.024312,-0.019032,-7.070000,-1.050000,-6.650000,26.36
1,2,40,0.082472,-1.013576,0.011224,-0.910000,-1.400000,-2.310000,26.36
1,2,40,0.084912,-1.012600,0.012688,-2.170000,-3.010000,-0.560000,26.36
1,2,40,0.084912,-1.008208,0.011224,-3.010000,-2.660000,-0.070000,26.36
1,2,41,0.081496,-1.005280,0.009760,-3.920000,-2.590000,0.700000,26.34
1,2,41,0.078568,-1.017480,-0.002440,-2.170000,-2.940000,1.540000,26.34
1,2,41,0.080520,-1.017480,-0.000488,0.700000,-1.960000,3.920000,26.38
1,2,41,0.061000,-1.016504,-0.000488,4.550000,-2.450000,1.400000,26.37
1,2,41,0.086864,-1.009672,0.016592,-0.910000,-3.220000,-0.210000,26.36
1,2,41,0.100528,-1.012600,0.015128,-3.010000,-3.080000,3.570000,26.38
1,2,41,0.095160,-1.008696,0.016104,-5.530000,-3.080000,10.570000,26.38
1,2,41,0.038064,-1.011624,-0.013176,-14.630000,-3.150000,2.310000,26.36
1,2,41,0.060512,-1.005768,-0.023912,-4.130000,-0.840000,-3.150000,26.30
1,2,41,0.063928,-1.027728,-0.037088,-3.360000,-1.470000,-3.500000,26.30
1,2,41,0.079056,-1.027240,-0.042944,17.709999,-1.330000,-0.350000,26.37
1,2,41,0.042456,-1.004792,-0.007808,5.320000,-1.120000,-2.660000,26.34
1,2,41,0.050264,-1.002352,-0.007320,3.640000,-0.700000,-4.410000,26.37
1,2,41,0.038552,-1.005768,-0.008296,1.750000,-0.490000,-9.240000,26.37
1,2,41,0.054168,-1.009672,-0.015128,0.700000,0.070000,-10.360000,26.36
1,2,41,0.067344,-1.019432,-0.021472,2.450000,-0.420000,-10.010000,26.38
1,2,41,0.101504,-1.029192,-0.009760,3.430000,-1.470000,-1.540000,26.38
1,2,41,0.121024,-1.007720,0.006344,3.850000,-1.260000,5.180000,26.34
1,2,41,0.067832,-1.011136,0.001952,-6.860000,-3.990000,8.610000,26.36
1,2,41,0.056608,-0.995032,-0.017568,-11.480000,-3.780000,7.770000,26.37
1,2,41,0.043920,-1.014064,-0.040504,-7.840000,-7.210000,7.840000,26.29
1,2,41,0.072712,-1.029192,-0.031232,-7.490000,-7.140000,9.310000,26.29
1,2,41,0.065880,-1.016504,-0.027816,-6.230000,-7.210000,13.580000,26.39
1,2,41,0.061488,-1.009184,-0.010248,-3.780000,-3.640000,9.870000,26.36
1,2,41,0.024888,-1.001864,-0.032208,-2.380000,-1.960000,-0.980000,26.36
1,2,41,0.065392,-1.014064,-0.025864,7.280000,-1.120000,-11.340000,26.39
1,2,41,0.092232,-1.020896,-0.014152,8.190000,-2.520000,-4.760000,26.35
1,2,41,0.078080,-0.997960,-0.008296,5.180000,1.330000,-0.560000,26.37
1,2,41,0.055144,-1.018944,0.000000,2.450000,-1.120000,-1.680000,26.37
1,2,41,0.061488,-0.990640,-0.005856,-0.420000,17.570000,-6.300000,26.39
1,2,41,0.053192,-1.007720,-0.020984,-0.910000,0.280000,-13.020000,26.38
1,2,41,0.057096,-1.019432,-0.017568,-0.840000,1.330000,-14.070000,26.35
1,2,41,0.076128,-1.012112,-0.056608,9.100000,0.770000,-18.900000,26.37
1,2,41,0.119072,-1.012600,-0.014640,9.870000,1.190000,-14.140000,26.37
1,2,41,0.098088,-1.001376,0.014152,7.840000,-0.210000,-8.750000,26.38
1,2,41,0.100528,-1.012112,0.019032,3.640000,-0.560000,-4.130000,26.38
1,2,41,0.095648,-1.006744,0.011712,-2.100000,-0.910000,-0.630000,26.38
1,2,41,0.095160,-1.003816,-0.002440,-7.630000,0.280000,-1.260000,26.37
1,2,41,0.091256,-1.018944,-0.014640,-4.760000,-0.910000,-1.680000,26.32
1,2,41,0.101016,-1.018456,-0.017080,-1.960000,-1.120000,0.770000,26.37
1,2,41,0.075640,-1.016016,-0.013664,6.440000,0.070000,-4.340000,26.32
1,2,41,0.086864,-1.006256,0.000488,4.550000,-0.840000,-0.910000,26.32
1,2,41,0.101504,-1.002840,-0.008296,3.990000,-2.660000,2.870000,26.38
1,2,41,0.092232,-1.014064,-0.011224,3.920000,-3.080000,2.240000,26.33
1,2,41,0.083936,-1.017480,-0.009272,5.390000,-3.570000,-0.140000,26.33
1,2,41,0.093208,-1.006256,-0.000976,5.530000,-4.900000,-0.280000,26.42
1,2,41,0.105896,-0.997960,0.015128,0.630000,-3.920000,1.190000,26.37
1,2,41,0.095160,-1.017968,-0.009272,-7.490000,-3.430000,7.840000,26.34
1,2,41,0.081496,-1.013576,-0.009760,-6.160000,-2.870000,4.970000,26.37
1,2,41,0.056608,-1.008696,-0.035136,-3.780000,-1.400000,-0.420000,26.37
1,2,41,0.070272,-1.017968,-0.037576,-2.030000,-1.400000,-4.130000,26.36
1,2,41,0.081496,-1.007720,-0.026352,3.290000,-0.910000,-4.760000,26.38
1,2,41,0.116144,-1.014064,-0.002928,4.690000,-0.910000,-0.560000,26.38
1,2,41,0.109800,-1.005280,0.002440,3.500000,-1.330000,4.830000,26.39
1,2,42,0.076616,-1.014552,-0.013664,-0.210000,-5.600000,-0.420000,26.34
1,2,42,0.086376,-1.012600,-0.012688,2.030000,-5.600000,0.700000,26.33
1,2,42,0.103944,-1.014064,0.003904,3.430000,-1.400000,2.450000,26.33
1,2,42,0.084424,-1.002352,-0.003416,-1.470000,-1.610000,5.530000,26.34
1,2,42,0.070272,-1.019920,-0.014640,0.490000,-1.540000,-2.380000,26.35
1,2,42,0.082960,-1.009672,-0.012200,2.730000,-1.330000,-1.260000,26.36
1,2,42,0.101992,-1.004304,0.001952,-0.280000,-1.610000,2.380000,26.36
1,2,42,0.095160,-1.013088,-0.026352,-3.430000,-2.870000,2.590000,26.40
1,2,42,0.099064,-1.016504,-0.017080,-1.400000,-1.960000,5.250000,26.41
1,2,42,0.104920,-1.008696,-0.018544,-0.420000,-2.170000,6.930000,26.35
1,2,42,0.081984,-1.015040,-0.014640,-0.350000,-2.590000,7.770000,26.35
1,2,42,0.062464,-1.008696,-0.007320,-1.890000,-1.260000,7.490000,26.37
1,2,42,0.063928,-1.008696,-0.012688,-4.900000,-3.010000,6.440000,26.39
1,2,42,0.081984,-1.020408,-0.015616,-6.090000,-1.260000,5.320000,26.42
1,2,42,0.082960,-0.995032,-0.006344,3.220000,-1.960000,2.800000,26.38
1,2,42,0.121024,-1.008696,0.001952,-6.230000,-2.730000,12.390000,26.38
1,2,42,0.072712,-1.005280,-0.006832,-11.620000,-3.220000,16.170000,26.39
1,2,42,0.060024,-1.008696,-0.021472,-16.450001,-3.570000,12.460000,26.34
1,2,42,0.034648,-0.996496,-0.045384,-19.600000,-4.830000,4.970000,26.34
1,2,42,0.044896,-1.012600,-0.050264,-13.580000,-4.690000,-1.330000,26.34
1,2,42,0.062464,-1.032608,-0.057584,0.070000,-0.980000,-3.570000,26.40
1,2,42,0.075152,-1.016016,-0.017568,-3.080000,-1.960000,9.520000,26.38
1,2,42,0.054656,-0.991128,-0.024888,-6.090000,-2.450000,10.290000,26.38
1,2,42,0.060512,-1.018456,-0.026840,-7.000000,-2.660000,6.300000,26.41
1,2,42,0.027816,-1.008696,-0.056608,-7.350000,-2.800000,-1.330000,26.41
