timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:05:52.846,26585,0.358,0.171,0.564
2026-02-17T20:05:52.846,26586,0.175,0.212,0.422
2026-02-17T20:05:52.904,26588,0.075,0.458,0.458
2026-02-17T20:05:52.965,26589,0.198,0.554,0.799
2026-02-17T20:05:52.966,26590,0.264,0.622,0.948
2026-02-17T20:05:52.966,26592,0.320,0.950,0.996
2026-02-17T20:05:53.025,26593,0.142,1.045,1.042
2026-02-17T20:05:53.025,26595,0.130,1.239,1.253
2026-02-17T20:05:53.026,26596,0.367,1.732,1.453
2026-02-17T20:05:53.026,26597,0.483,1.778,1.207
2026-02-17T20:05:53.084,26599,0.505,1.657,0.815
2026-02-17T20:05:53.086,26600,0.384,1.332,0.769
2026-02-17T20:05:53.086,26601,0.292,1.124,0.873
2026-02-17T20:05:53.144,26604,-0.074,0.732,1.235
2026-02-17T20:05:53.145,26605,-0.055,0.717,1.271
2026-02-17T20:05:53.145,26606,0.019,0.650,1.093
2026-02-17T20:05:53.204,26608,0.349,0.431,0.512
2026-02-17T20:05:53.205,26609,0.371,0.008,0.039
2026-02-17T20:05:53.205,26610,0.350,-0.304,0.174
2026-02-17T20:05:53.264,26612,0.588,-0.906,0.651
2026-02-17T20:05:53.265,26613,1.116,-1.424,0.821
2026-02-17T20:05:53.265,26614,1.079,-1.667,0.612
2026-02-17T20:05:53.324,26616,0.036,-2.235,1.421
2026-02-17T20:05:53.325,26617,-1.093,-1.746,2.518
2026-02-17T20:05:53.326,26618,-2.118,-1.627,2.938
2026-02-17T20:05:53.384,26620,-2.048,-1.316,2.257
2026-02-17T20:05:53.385,26621,0.123,-0.882,0.691
2026-02-17T20:05:53.385,26622,0.369,-0.810,0.520
2026-02-17T20:05:53.445,26624,0.276,-1.038,1.234
2026-02-17T20:05:53.445,26625,0.217,-0.822,1.250
2026-02-17T20:05:53.505,26626,0.046,-0.778,0.906
2026-02-17T20:05:53.506,26628,-0.101,-0.803,0.554
2026-02-17T20:05:53.506,26629,0.029,-0.559,0.622
2026-02-17T20:05:53.506,26630,0.200,-0.475,0.717
2026-02-17T20:05:53.564,26632,0.365,0.177,0.896
2026-02-17T20:05:53.565,26633,0.212,0.519,0.795
2026-02-17T20:05:53.565,26634,0.162,0.534,0.761
2026-02-17T20:05:53.624,26636,0.273,0.538,0.902
2026-02-17T20:05:53.626,26637,0.471,0.708,1.100
2026-02-17T20:05:53.626,26638,0.360,0.707,1.046
2026-02-17T20:05:53.685,26640,0.033,0.768,1.056
2026-02-17T20:05:53.685,26641,0.003,0.871,1.273
2026-02-17T20:05:53.685,26642,0.041,0.915,1.244
2026-02-17T20:05:53.744,26644,0.199,0.952,1.165
2026-02-17T20:05:53.744,26645,0.300,0.986,1.043
2026-02-17T20:05:53.746,26646,0.307,0.968,0.999
2026-02-17T20:05:53.804,26648,0.305,0.892,1.026
2026-02-17T20:05:53.805,26649,0.278,0.855,1.160
2026-02-17T20:05:53.805,26650,0.278,0.891,1.198
2026-02-17T20:05:53.865,26652,0.223,0.944,1.165
2026-02-17T20:05:53.866,26653,0.270,1.050,1.043
2026-02-17T20:05:53.866,26654,0.271,1.031,0.857
2026-02-17T20:05:53.925,26656,0.083,0.862,0.549
2026-02-17T20:05:53.926,26657,0.074,0.545,0.503
2026-02-17T20:05:53.926,26658,0.100,0.315,0.554
2026-02-17T20:05:53.985,26660,0.505,-0.194,0.693
2026-02-17T20:05:54.045,26661,1.103,-1.296,0.142
2026-02-17T20:05:54.045,26662,1.209,-1.740,0.000
2026-02-17T20:05:54.046,26664,0.968,-2.288,0.710
2026-02-17T20:05:54.046,26665,-0.349,-2.164,2.497
2026-02-17T20:05:54.104,26667,-2.866,-2.031,3.471
