timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:12:15.649,-7444,-0.085,-0.170,0.941
2026-02-17T20:12:15.649,-7443,-0.087,-0.116,0.780
2026-02-17T20:12:15.649,-7442,-0.111,-0.107,0.618
2026-02-17T20:12:15.709,-7440,-0.286,-0.077,0.360
2026-02-17T20:12:15.710,-7439,-0.291,-0.209,0.389
2026-02-17T20:12:15.710,-7438,-0.288,-0.127,0.345
2026-02-17T20:12:15.768,-7436,-0.081,0.031,0.109
2026-02-17T20:12:15.769,-7435,-0.066,0.133,-0.646
2026-02-17T20:12:15.769,-7434,-0.275,0.258,-1.053
2026-02-17T20:12:15.828,-7432,-0.528,0.593,-1.362
2026-02-17T20:12:15.828,-7431,-0.638,0.631,-1.756
2026-02-17T20:12:15.830,-7430,-0.471,0.479,-1.717
2026-02-17T20:12:15.889,-7428,-0.109,0.020,-1.354
2026-02-17T20:12:15.889,-7427,-0.058,-0.256,-0.953
2026-02-17T20:12:15.890,-7426,-0.092,-0.483,-0.677
2026-02-17T20:12:15.948,-7424,-0.162,-0.561,-0.272
2026-02-17T20:12:15.949,-7423,-0.110,-0.577,-0.177
2026-02-17T20:12:15.949,-7422,-0.054,-0.528,-0.252
2026-02-17T20:12:16.009,-7420,-0.183,-0.430,-0.433
2026-02-17T20:12:16.009,-7419,-0.607,-0.387,-0.406
2026-02-17T20:12:16.010,-7418,-0.658,-0.392,-0.160
2026-02-17T20:12:16.068,-7416,-0.373,-0.377,0.192
2026-02-17T20:12:16.069,-7415,-0.195,-0.352,0.188
2026-02-17T20:12:16.070,-7414,-0.277,-0.290,0.053
2026-02-17T20:12:16.128,-7411,-0.539,-0.519,0.312
2026-02-17T20:12:16.129,-7410,-0.125,-0.661,1.231
2026-02-17T20:12:16.129,-7409,0.110,-0.745,1.490
2026-02-17T20:12:16.189,-7407,0.185,-0.680,1.185
2026-02-17T20:12:16.189,-7406,-0.595,-0.223,0.355
2026-02-17T20:12:16.248,-7405,-0.782,-0.137,0.174
2026-02-17T20:12:16.248,-7403,-0.313,-0.328,0.881
2026-02-17T20:12:16.250,-7402,0.091,-0.297,1.398
2026-02-17T20:12:16.250,-7401,0.091,-0.220,1.452
2026-02-17T20:12:16.308,-7399,-0.304,0.083,1.067
2026-02-17T20:12:16.309,-7398,-0.518,0.170,1.004
2026-02-17T20:12:16.368,-7397,-0.306,0.064,1.239
2026-02-17T20:12:16.369,-7395,0.097,-0.035,1.888
2026-02-17T20:12:16.369,-7394,-0.023,0.022,1.897
2026-02-17T20:12:16.428,-7392,-0.302,0.044,1.616
2026-02-17T20:12:16.429,-7391,-0.089,-0.061,1.802
2026-02-17T20:12:16.429,-7390,-0.125,-0.042,1.759
2026-02-17T20:12:16.489,-7388,-0.254,0.022,1.482
2026-02-17T20:12:16.489,-7387,-0.336,0.048,1.400
2026-02-17T20:12:16.490,-7386,-0.347,0.052,1.488
2026-02-17T20:12:16.548,-7384,-0.274,-0.061,1.567
2026-02-17T20:12:16.550,-7383,-0.295,-0.039,1.458
2026-02-17T20:12:16.551,-7382,-0.330,0.020,1.387
2026-02-17T20:12:16.608,-7380,-0.336,0.034,1.398
2026-02-17T20:12:16.610,-7379,-0.199,-0.039,1.637
2026-02-17T20:12:16.610,-7378,-0.150,-0.044,1.663
2026-02-17T20:12:16.668,-7376,-0.123,-0.008,1.526
2026-02-17T20:12:16.669,-7375,-0.195,0.034,1.568
2026-02-17T20:12:16.669,-7374,-0.159,0.002,1.709
2026-02-17T20:12:16.728,-7372,-0.054,-0.032,1.904
2026-02-17T20:12:16.728,-7371,-0.079,0.020,1.788
2026-02-17T20:12:16.730,-7370,-0.108,0.053,1.715
2026-02-17T20:12:16.788,-7368,-0.185,0.011,1.740
2026-02-17T20:12:16.789,-7367,-0.062,-0.080,1.991
2026-02-17T20:12:16.789,-7366,-0.044,-0.096,1.922
2026-02-17T20:12:16.849,-7364,-0.053,-0.012,1.481
2026-02-17T20:12:16.849,-7363,-0.057,0.026,0.897
2026-02-17T20:12:16.850,-7362,-0.092,0.036,0.669
2026-02-17T20:12:16.908,-7360,-0.234,0.005,0.529
2026-02-17T20:12:16.909,-7359,-0.216,-0.095,0.617
2026-02-17T20:12:16.910,-7358,-0.229,-0.115,0.593
2026-02-17T20:12:16.968,-7356,-0.165,-0.386,0.829
2026-02-17T20:12:16.969,-7355,-0.060,-0.347,0.879
2026-02-17T20:12:16.969,-7354,-0.113,-0.142,0.620
2026-02-17T20:12:17.028,-7352,-0.265,0.039,0.128
2026-02-17T20:12:17.029,-7351,-0.339,-0.055,-0.360
2026-02-17T20:12:17.031,-7350,-0.380,-0.131,-0.425
2026-02-17T20:12:17.089,-7348,-0.329,-0.046,-0.364
2026-02-17T20:12:17.090,-7347,-0.258,0.258,-0.740
2026-02-17T20:12:17.090,-7346,-0.364,0.431,-1.084
2026-02-17T20:12:17.149,-7344,-0.625,0.460,-1.647
2026-02-17T20:12:17.149,-7343,-0.615,0.287,-1.552
2026-02-17T20:12:17.149,-7342,-0.539,0.171,-1.363
2026-02-17T20:12:17.208,-7340,-0.477,-0.002,-0.868
2026-02-17T20:12:17.209,-7339,-0.355,-0.187,-0.459
2026-02-17T20:12:17.210,-7338,-0.311,-0.178,-0.393
2026-02-17T20:12:17.329,-7336,-0.355,-0.079,-0.466
2026-02-17T20:12:17.329,-7335,-0.320,-0.044,-0.483
2026-02-17T20:12:17.389,-7334,-0.336,-0.056,-0.429
2026-02-17T20:12:17.389,-7332,-0.491,-0.146,-0.142
2026-02-17T20:12:17.389,-7331,-0.370,-0.157,0.464
2026-02-17T20:12:17.389,-7330,-0.247,-0.211,0.678
2026-02-17T20:12:17.448,-7328,0.097,-0.262,1.388
2026-02-17T20:12:17.449,-7327,0.218,-0.124,1.341
2026-02-17T20:12:17.450,-7326,0.051,-0.016,1.082
2026-02-17T20:12:17.509,-7324,-0.518,0.313,0.657
2026-02-17T20:12:17.510,-7323,0.052,0.260,1.210
2026-02-17T20:12:17.510,-7322,0.362,0.262,1.608
2026-02-17T20:12:17.568,-7320,0.407,0.344,2.136
2026-02-17T20:12:17.570,-7319,-0.231,0.640,1.839
2026-02-17T20:12:17.570,-7318,-0.477,0.729,1.664
2026-02-17T20:12:17.628,-7315,0.191,0.283,2.470
2026-02-17T20:12:17.630,-7314,0.249,0.135,2.451
2026-02-17T20:12:17.630,-7313,0.093,0.131,2.219
2026-02-17T20:12:17.688,-7311,-0.327,0.252,1.599
2026-02-17T20:12:17.689,-7310,-0.433,0.250,1.124
2026-02-17T20:12:17.689,-7309,-0.407,0.321,1.171
2026-02-17T20:12:17.749,-7307,-0.303,0.148,1.707
2026-02-17T20:12:17.749,-7306,-0.300,0.100,1.987
2026-02-17T20:12:17.750,-7305,-0.374,0.125,1.952
2026-02-17T20:12:17.808,-7303,-0.351,0.200,1.537
2026-02-17T20:12:17.809,-7302,-0.221,0.252,1.190
2026-02-17T20:12:17.809,-7301,-0.196,0.290,1.218
2026-02-17T20:12:17.868,-7299,-0.234,0.325,1.551
2026-02-17T20:12:17.869,-7298,-0.207,0.313,1.754
2026-02-17T20:12:17.869,-7297,-0.194,0.354,1.630
2026-02-17T20:12:17.929,-7295,-0.227,0.395,1.523
2026-02-17T20:12:17.989,-7294,-0.233,0.337,1.838
2026-02-17T20:12:17.989,-7293,-0.134,0.228,2.054
2026-02-17T20:12:17.990,-7291,0.030,0.150,1.966
2026-02-17T20:12:18.049,-7289,-0.062,0.116,1.538
2026-02-17T20:12:18.049,-7288,0.035,0.106,1.218
2026-02-17T20:12:18.050,-7287,0.011,0.080,1.106
2026-02-17T20:12:18.109,-7285,-0.078,0.065,1.084
2026-02-17T20:12:18.109,-7284,-0.038,-0.055,1.026
2026-02-17T20:12:18.111,-7283,0.021,0.004,0.917
2026-02-17T20:12:18.169,-7281,-0.035,0.236,0.535
2026-02-17T20:12:18.169,-7280,-0.227,0.238,0.388
2026-02-17T20:12:18.170,-7279,-0.289,0.146,0.401
2026-02-17T20:12:18.229,-7277,-0.271,0.191,0.246
2026-02-17T20:12:18.233,-7276,-0.168,0.367,-0.108
2026-02-17T20:12:18.233,-7275,-0.205,0.460,-0.409
2026-02-17T20:12:18.289,-7273,-0.304,0.606,-0.953
2026-02-17T20:12:18.289,-7272,-0.571,0.701,-1.426
2026-02-17T20:12:18.290,-7271,-0.663,0.679,-1.488
2026-02-17T20:12:18.348,-7269,-0.572,0.502,-1.325
2026-02-17T20:12:18.349,-7268,-0.393,0.306,-1.035
2026-02-17T20:12:18.349,-7267,-0.384,0.183,-0.974
